track_id,artist,title,year,playlists,difficulty_actuel,is_francophone_actuel
7195006b-2487-45e3-89a2-1e943d784c6e,Modest Mouse,Ocean Breathes Salty,2004,official-pl-2000s|official-pl-2000s-hard,3,false
69ccbb04-32d6-44f9-8e0d-bc23817d8936,Modjo,Lady (Hear Me Tonight),2000,official-pl-duos-cultes|official-pl-electro-edm|official-pl-french-touch,,false
9154d52f-662f-4429-a7de-35572da47fba,Montell Jordan,This Is How We Do It,1995,official-pl-soul-rnb,,false
1a37504e-a067-4894-bec6-b6383dcf0d07,Morgan Wallen,Last Night,2023,official-pl-2020s|official-pl-2020s-medium|official-pl-country,2,false
26cf5227-05b4-45f9-97bc-53d72d42e4a5,Mory Kanté,Yéké yéké,1987,official-pl-fr-80s|official-pl-fr-80s-hard,3,true
ecb9c2c2-8a34-4946-b4b6-ea816279daa3,Mötley Crüe,"Girls, Girls, Girls",1987,official-pl-80s-mix|official-pl-hard-rock-80s,,false
7364cca2-ca26-450e-bf9f-756769d7a0e3,Mötley Crüe,Home Sweet Home,1985,official-pl-hard-rock-80s,3,false
b0cd4538-e237-4377-b804-f67e114f7c86,Mötley Crüe,Kickstart My Heart,1989,official-pl-hard-rock-80s|official-pl-intros-legendaires|official-pl-metal|official-pl-rock,3,false
74361f30-2205-41e6-a174-9285aab9543b,Motörhead,Overkill,1979,official-pl-metal,3,false
35de1b3b-6755-4503-99a1-4e623f3f0010,Mozart Opéra Rock,Penser l'impossible,2010,official-pl-musicales-fr,,true
de692ad6-5c6c-4467-953d-5da2ed7bacdb,Mozart Opéra Rock,Tatoue-moi,2010,official-pl-fr-2010s|official-pl-fr-2010s-medium,2,true
e615aa89-cdbf-42d2-a678-16e2edc96ec0,Mozart Opéra Rock,Vivre à en crever,2009,official-pl-musicales-fr,,true
ffe9a4c1-b57c-432b-8755-0933c54a1776,Mr. Oizo,Flat Beat,1999,official-pl-electro-edm|official-pl-french-touch,,false
e2f7e158-94d0-434c-9311-f61acb6c7659,MrMichem72,Laurent Voulzy ~ Rockollection.,,,,false
12125cc0-8c93-4c54-8614-bb361eb0ecf3,Mulan (cast français),Comme un homme,1998,official-pl-disney-fr,,true
80fb01a1-23cc-4d01-a583-ec394eb9b84a,Mulan (cast français),Réflexion,1998,official-pl-disney-fr,,true
6e146eb4-cac6-4514-81e7-f2b49e34b143,Mumford & Sons,Little Lion Man,2009,official-pl-2000s|official-pl-2000s-hard,3,false
7661f88b-a8eb-472f-b6cf-9c7404bf67a2,Mungo Jerry,In the Summertime,1970,official-pl-one-hit-wonders,,false
30f6fbd1-8560-4fdc-b623-fe739eb96cbe,Muse,Feeling Good,2001,official-pl-reprises-celebres,,false
58dc8403-42c9-46b8-afd5-d3168e1684a2,Muse,Knights of Cydonia,2006,official-pl-2000s-mix,,false
156c3a53-619d-4c61-aa19-0839ab17ee89,Muse,Supermassive Black Hole,2006,official-pl-2000s|official-pl-2000s-hard|official-pl-rock,3,false
21115016-6d4f-4db3-aab9-c9f026da1b47,Musical Youth,Pass the Dutchie,1982,official-pl-reggae,,false
4f88c901-7138-464c-a8e4-6eab7fdca69a,My Chemical Romance,Helena,2004,official-pl-2000s|official-pl-2000s-hard|official-pl-halloween,3,false
2eb5de1d-db0c-4695-8cb9-ba857596f1dd,My Chemical Romance,I'm Not Okay (I Promise),2004,official-pl-2000s|official-pl-2000s-medium,2,false
1e8009fd-48fd-4516-8e11-ae789e1fe231,My Chemical Romance,Welcome to the Black Parade,2006,official-pl-2000s|official-pl-2000s-hard|official-pl-2000s-medium|official-pl-punk-rock-90s-2000s,2,false
4995c99b-1d0d-4324-bfe0-b97f6b2602ed,My Mine,Hypnotic Tango,1983,official-pl-italo-disco-classics,,false
3132561a-2b79-4f4e-a024-6d1b6f4bfc5d,Mylène Farmer,Désenchantée,1991,official-pl-chanson-francaise-culte|official-pl-fr-90s|official-pl-fr-90s-easy|official-pl-variete-francaise,1,true
b66fd90b-1628-4975-ae35-18de6dbad094,Mylène Farmer,Je t'aime mélancolie,1991,official-pl-fr-90s-mix,,true
baa25399-7ebe-44e1-a92b-4ec9318a4214,Mylène Farmer,Pourvu qu'elles soient douces,1988,official-pl-chanson-francaise-culte|official-pl-fr-80s|official-pl-fr-80s-easy,1,true
3cae9aa9-f6c0-4b80-abab-900408fde1dd,Mylène Farmer,Salomé,2008,official-pl-fr-2000s|official-pl-fr-2000s-hard,3,true
076a4cee-453c-4671-a3e0-41fef827c585,Myles Smith,Stargazing,2024,official-pl-2020s-mix,,false
6d8f8173-14a9-4da7-8b1b-aee2e05021a1,N.W.A,Express Yourself,1989,official-pl-rap-us,,false
d8aa6ab5-5499-4940-bf67-b8d0af394a4a,N.W.A,Straight Outta Compton,1988,official-pl-rap-us,,false
e26d2c2a-4189-47e7-a073-c45dbed238ce,Najoua Belyzel,Mon ange,2005,official-pl-fr-2000s|official-pl-fr-2000s-easy,1,true
688fe8d7-4352-4f6a-905d-65931d21261e,Nancy Sinatra,These Boots Are Made for Walkin',1966,official-pl-60s,,false
a6ac7239-b09d-483c-b064-09554cf2bcbd,Naps,Familia,2021,official-pl-hiphop-fr-2020s,,true
4f68f6b3-30de-4b0a-a086-79769c010204,Nat King Cole,L-O-V-E,1965,official-pl-saint-valentin,,false
f77be70d-a420-4057-a0ff-ab669548ded8,Nat King Cole,The Christmas Song (Chestnuts Roasting on an Open Fire),1946,official-pl-noel,,true
d2003a42-137b-4fee-9c45-52aae3f97b3f,Natalie Imbruglia,Torn,1997,official-pl-2000s-mix|official-pl-90s|official-pl-90s-easy|official-pl-90s-medium|official-pl-90s-mix|official-pl-one-hit-wonders|official-pl-reprises-celebres|official-pl-un-seul-tube,1,false
86d4654e-d557-4fde-9fde-19529b6b833e,Natasha Bedingfield,Unwritten,2004,official-pl-2000s|official-pl-2000s-easy,1,false
a9e8d835-dae0-4e2b-b4c7-e3257cf3ae24,Natasha St-Pier,Tu trouveras,2002,official-pl-fr-2000s|official-pl-fr-2000s-medium|official-pl-quebec,2,true
deff6443-3238-4b44-981b-a1f6b826b906,Natasha St-Pier & Pascal Obispo,Tu trouveras,2002,official-pl-duos-cultes,,true
a6db8c59-3f1d-42a4-9354-3f2aba9bee2c,"Nathan Lane, Ernie Sabella, Jason Weaver",Hakuna Matata,1994,official-pl-disney-en,,false
54f4d804-eb01-4ba0-aa94-6c831dd02e8f,Native,Tu planes sur moi,1993,official-pl-fr-90s|official-pl-fr-90s-hard,3,true
5a28e0ea-3ac0-4cae-9df2-82599363affb,Neil Diamond,Sweet Caroline,1969,official-pl-70s|official-pl-70s-easy|official-pl-anniversaire|official-pl-chants-de-stade|official-pl-karaoke|official-pl-karaoke-komptoir|official-pl-love-international|official-pl-roadtrip,1,false
dfd32bcc-3d36-4400-bf67-653cfc41b2de,Neil Young,Heart of Gold,1972,official-pl-70s|official-pl-70s-hard|official-pl-rock,3,false
f48c6749-6b36-4af7-8b79-78be86aefa53,Neil Young,Rockin' in the Free World,1989,official-pl-roadtrip|official-pl-rock,,false
abf321ab-e4ef-4874-b1dc-b8dd2ce4adcd,Nelly,Dilemma,2002,official-pl-2000s|official-pl-2000s-easy|official-pl-2000s-medium|official-pl-2000s-mix|official-pl-rap-us|official-pl-soul-rnb,1,false
d904f315-0fa5-4093-aa40-b22472ff640b,Nelly,Hot in Herre,2002,official-pl-2000s|official-pl-2000s-medium|official-pl-2000s-mix|official-pl-rap-us|official-pl-soul-rnb,2,false
e9aac93c-20a1-4a7c-9285-092cb86fcce7,Nelly,Ride wit Me,2001,official-pl-rap-us,,false
79eba04e-c3ba-4003-982a-f9ac3824fe69,Nelly & Kelly Rowland,Dilemma,2002,official-pl-duos-cultes,,false
d020845a-71a9-4a52-b362-8b2cfd52db41,Nelly Furtado,I'm Like a Bird,2000,official-pl-love-international|official-pl-pop,,false
a16426a0-8b8e-405e-9795-d1c38ab2a9b5,Nelly Furtado,Promiscuous,2006,official-pl-2000s|official-pl-2000s-easy|official-pl-2000s-mix|official-pl-summer-hits-yearly,1,false
00e355e8-9308-4e81-8fe7-c81593a36463,Nelly Furtado & Timbaland,Promiscuous,2006,official-pl-duos-cultes,,false
afbc5cad-baa9-4703-8f2e-5554b552a1d7,Nena,99 Luftballons,1983,official-pl-80s|official-pl-80s-easy|official-pl-80s-hard|official-pl-80s-medium|official-pl-80s-mix|official-pl-new-wave-synthpop-80s|official-pl-one-hit-wonders|official-pl-pubs-cultes|official-pl-un-seul-tube,1,false
e3d1b84f-fb8c-4916-9636-71d67106e5be,Nerf Herder,Buffy the Vampire Slayer Theme,1997,official-pl-series-tv,,false
d9983da7-6037-4ca4-b963-82e43e35c115,Netta,Toy,2018,official-pl-eurovision,,false
3b1ea88d-2fc4-49d9-8bf4-63323114e1c6,New Order,Bizarre Love Triangle,1986,official-pl-80s|official-pl-80s-easy|official-pl-80s-hard|official-pl-pop|official-pl-pubs-cultes,1,false
9a764d25-bded-4a5f-9844-8cf7b2d38989,New Order,Blue Monday,1983,official-pl-80s|official-pl-80s-hard|official-pl-intros-legendaires|official-pl-pop,3,false
e65473b4-c15e-4b99-920f-9ae6696ec21d,New Order,True Faith,1987,official-pl-80s|official-pl-80s-hard,3,false
497079d6-de02-4513-8248-993b4f24f56d,New Radicals,You Get What You Give,1998,official-pl-apero-afterwork|official-pl-one-hit-wonders|official-pl-un-seul-tube,,false
a13e7012-2728-4afb-bfe4-0843d662d461,NewJeans,Ditto,2022,official-pl-2020s|official-pl-2020s-hard|official-pl-2020s-medium|official-pl-2020s-mix|official-pl-kpop,2,false
5b9b20df-8b68-4cb7-92e2-949526c3eb82,NewJeans,OMG,2023,official-pl-2020s|official-pl-2020s-hard|official-pl-2020s-medium|official-pl-2020s-mix|official-pl-kpop,2,false
e2def890-6f12-447e-b604-85341ffff9fe,Niagara,Bain de minuit,1985,official-pl-fr-80s|official-pl-fr-80s-hard,3,true
3d6475b9-55c1-4a10-b607-8ce4069d4103,Niagara,La belle inconnue,1986,official-pl-fr-80s-mix,,true
b20ec067-ee6b-4c8c-987f-a8345ebf4f50,Nick Cave & Kylie Minogue,Where the Wild Roses Grow,1995,official-pl-duos-cultes,,false
82119e17-6a6e-483f-ba64-edc08b14566b,Nick Cave & The Bad Seeds,Peaky Blinders Theme (Red Right Hand),1994,official-pl-series-tv,,false
791a3e01-ea0f-45a0-927f-c206677e1a0a,Nick Cave & The Bad Seeds,Red Right Hand,1994,official-pl-halloween|official-pl-series-tv,,false
3e5294a2-9a4f-4b8c-a653-dddd13acf653,Nickelback,How You Remind Me,2001,official-pl-2000s|official-pl-2000s-easy|official-pl-2000s-medium|official-pl-punk-rock-90s-2000s,1,false
fb170a96-3079-44bf-b312-075ee63a1063,Nicki Minaj,Starships,2012,official-pl-2010s|official-pl-2010s-medium|official-pl-rap-us,2,false
dc10ce9e-b31f-432d-8939-4a799bc4d61b,Nico & Vinz,Am I Wrong,2013,official-pl-2010s|official-pl-2010s-medium,2,false
0ca59e5f-3fed-4697-8bcf-f92657251dec,Night Ranger,Sister Christian,1984,official-pl-hard-rock-80s,3,false
6f67b498-da07-46dc-828a-6681a640d912,Nik Kershaw,Wouldn't It Be Good,1984,official-pl-80s|official-pl-new-wave-synthpop-80s|official-pl-pop|official-pl-un-seul-tube,,false
e80f7f27-a4e9-4ed8-82a4-d57dca4a805d,Nikki Blonsky,Good Morning Baltimore,2007,official-pl-musicals-us,,false
