ytId	to	artist	title	candidate
l0qWjHP1GQc	l0U7SxXHkPY	Future feat. Drake	Life Is Good	Future - Life Is Good (Official Music Video) ft. Drake
uWu3JqLMImY	uWu4aynBK7E	Kenny Chesney	She Thinks My Tractor's Sexy	Kenny Chesney - She Thinks My Tractor's Sexy (Official Video)
FgDa_cpgHWs	dV3AziKTBUo	Steve Miller Band	The Joker	Steve Miller Band - The Joker (Official Music Video)
5ScmZVBumVc	ouWQ25O-Mcg	Maren Morris	My Church	Maren Morris - My Church (Official Music Video)
vcR3OgZS4J4	fN8v15Jt9j4	La Belle et la Bête (cast français)	Belle (La Belle et la Bête)	La Belle et la Bête, (Français) (We Love Disney) Beauty and the Beast, (French)
