track_id,niveau
223bc51b-1d74-4cb9-9780-5376dd6a0740,3
e602b6cb-2c79-4321-bbad-d5234a8a5398,3
3f3cf85e-c869-4851-8208-875e94cc0f9c,3
87682596-09a2-4779-8c85-93dc5fdedb28,2
a05a0937-aaae-49b6-9df1-36150abab9b2,2
8d18f0e0-5d45-42d9-bfaf-ced12b4ef325,3
2fd76b54-b1e8-4d53-ba00-19a29c654cdf,2
a4ecdf61-595c-4529-a79d-361077b9ab9c,1
931707e2-76d5-41f8-83e2-6df8fea61b0e,2
529d493e-f6db-457c-91b0-475c323cbffe,3
c3d95405-ab99-4eb1-a2fb-3507c409afc7,3
b2f969a0-e149-48ee-9cb3-24ff22b785fc,2
fc54e6ce-d93b-4cef-98eb-11dafeca22ca,2
737333e4-e396-412f-b0a0-bd1f0f1894c3,1
c84d936e-ce7f-42dc-8f8b-b3f2ba4a4699,3
81275534-8214-4477-984a-8696085e964a,3
de1171ee-20cf-4bca-9c7b-a90b2ac42af0,3
cafb5e35-4511-4c0e-b578-e1209ac70477,3
945fba9b-d452-478c-8096-1527233d7fa4,1
db2d8298-f295-48bc-a2cf-3c3db84300e8,2
6bdc174b-7581-4aca-a57d-38600939f740,2
cb7dbbf4-6372-4f82-bd7d-cca4a6fb4cd9,3
1be39d04-79ab-4a1d-8a63-6b0898dcef1a,2
342efd41-6fb5-4ed8-81a3-f7e89c4702dc,2
2045b1b6-541b-43f6-a77a-87f309148735,2
fb46bb7b-cf7b-4d78-b1d3-b83e423515ac,2
1f54ee7b-a844-47f4-8930-b1edda97b159,3
ec9a5c98-9328-4f1a-b386-872478f0966e,3
a709f41d-a84c-4c47-ad25-16f4e88cccab,3
1fa9fee4-1208-4197-9b42-095cd8f9886d,2
ad66ede1-a6a0-4ee4-8936-65453626e8f5,3
402a4ff2-104b-46d6-9cc9-d1544ea38545,2
ea35d50d-91f8-413a-8be5-6bf02202f728,3
25fa91ae-3ef3-4d6e-8f97-557dd3c5aed8,3
3ed1aaad-163f-4fbd-ba3c-201fc29cfd6e,2
adc07ae3-2f10-4466-a79b-9a44ee69cd23,2
be4f4a2b-a884-448d-b83c-46970d7c5141,2
08d77273-1964-413e-8912-e802bd69b6d1,3
33b86607-943f-46be-bcb4-5f7dad4ebe9f,2
ee14a8d5-f5e6-4518-a754-a9771b5c4aeb,2
6abed89f-3a8d-40dd-8799-3e18ae7a702f,2
c358f6d0-0bf1-4de3-b547-84b55a9135a6,2
50645db5-dc74-4fda-a056-3046f39ac616,2
04d897c7-e7e6-4696-a6ba-f7450fecb102,2
be3c2c41-0b5d-4e7c-a617-af0836e32c4f,3
302a215d-d2c0-4e4e-8490-b5ca507d6b67,3
8c2bb268-bcd1-4153-a5d1-484008e5e55a,3
4ba5636e-adfd-4c1a-960d-1f1f7504801c,3
cea208a7-16be-469f-9390-2a9d3b903321,3
993d5f05-205f-4fb5-878a-142115d5ec7c,3
72824e64-621c-4164-aa74-6d5d401fa9b0,3
9414a271-4444-48f4-8865-8efc607ce239,3
e829a1a2-73e6-4ede-a450-07e4dcbc9c57,2
372fb40b-43eb-411c-8cf1-f5002f10a764,3
b189eff3-8f2d-4ff3-9204-25c9b8a4cf0e,3
15bc5d0f-8922-4692-a01f-4658282a5a87,3
42efcdf3-3fee-4607-8ea3-27997bf5565b,3
beeb2844-c7f9-4871-b923-b575757ffcd0,3
7a687f64-f9ac-488b-af18-27ca22c657f4,3
a50efd14-0787-4fdf-8b07-f3a17cfc4632,1
4ce12b1e-3dfc-4ba1-bad1-fecf1e09c925,3
f9750aac-3d78-4411-84b9-6c4402606812,2
0d902a82-0559-45a3-8e85-10edc9b940ca,1
a635c605-2bc0-4ed4-8f92-15115842b1f4,3
83f99aff-55b4-4feb-af56-e8b9878414dd,2
4824573e-317c-4b8f-904f-bc91f91005df,2
2c3a0f1c-6929-4549-9c31-6a15f7301f21,3
c524e26d-1e2b-47b9-9329-1d8d6e772dd8,2
cad33d50-56de-4daf-a80b-170f0f7fa04b,3
5175fc32-69c1-4425-a367-b3016dd2e0f0,3
f70297bd-5c45-47fd-b80b-d96cebccacc4,3
2e26010c-3dd4-460e-bbe7-63ae194d6195,3
5ef4005a-9384-4f62-9928-aa514de15d08,3
9a0d7142-337f-4396-9cbf-fa4197843331,2
63fe23d5-1beb-4527-a022-49918ee0870e,3
5db42a30-1bfd-496d-a65c-34d1aaac5148,2
b715009b-96b9-466e-b0d1-be96770fd2ea,3
eb8cbcc1-b3ed-413d-ad42-9ef1032b0103,2
3f24bdd3-2f9a-46b7-b6c7-6b3a251a090d,2
ae6d9156-e0bc-4a25-9857-df8c26b9c914,3
f469670f-6f25-4274-a132-b714e324913c,2
ea82f238-14a8-4b96-ac4a-4bbdb8ee4d52,3
142bc0b9-a584-4c41-8924-85a59d3dd447,3
4bf1ac2c-2b67-4ff3-a03c-c5bd0c95db28,3
f3600999-ca4b-470b-903d-65129b55fddf,1
7086e9da-cab4-437c-9249-e4fb7af9839e,2
50cd2215-4f42-43af-a9fb-f1aa617be925,2
d54812e0-2779-48e8-8053-db8f7236d15c,2
cf04f6c2-0de2-48d1-ab5e-c22ec3301fce,1
01c4f623-f2c1-4e85-9055-21e582f9033c,3
a66066e7-422d-4b36-a13b-873360a7a618,2
44bf0340-587d-463f-96f3-11beb3debf70,2
455f8bfa-92df-466d-a9b1-7907caca1762,2
1a1c40ef-0d52-4ddc-ad34-81e6d4106253,3
